time_s,kind,kind_name,u8_payload,payload_name,f_payload
2.145,1,STATE_CHANGE,0,IDLE,0
2.145,3,FAULT_CLEARED,255,?,0
2.145,4,SETPOINT_CHG,0,,30
17.145,4,SETPOINT_CHG,0,,34
23.145,1,STATE_CHANGE,1,PID,0
1310.145,1,STATE_CHANGE,2,THROTTLE,0
1630.145,1,STATE_CHANGE,4,FAULT,0
1630.145,2,FAULT_RAISED,2,NTC_SHORT,0
1669.145,2,FAULT_RAISED,6,NODE_OFFLINE,0
1798.145,1,STATE_CHANGE,3,COOLING,0
1798.145,3,FAULT_CLEARED,6,NODE_OFFLINE,0
1799.145,1,STATE_CHANGE,0,IDLE,0
1815.145,1,STATE_CHANGE,1,PID,0
1857.145,1,STATE_CHANGE,4,FAULT,0
1857.145,2,FAULT_RAISED,4,FAN_OPEN,0
1858.145,2,FAULT_RAISED,6,NODE_OFFLINE,0
