time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
1.9650,31.4975,31.6880,0.1152,0.0000,0.0000,30.0000,COOLING
2.9650,31.4975,31.6880,0.1152,0.0000,0.0000,30.0000,IDLE
3.9650,31.4975,31.4975,0.1152,0.0000,0.2000,30.0000,IDLE
4.9650,31.3084,31.4937,0.1160,1.0000,0.2000,30.0000,PID
5.9650,30.7502,31.4788,0.1185,1.0000,0.2000,30.0000,PID
6.9650,31.1209,31.4717,0.1168,1.0000,0.2000,30.0000,PID
7.9650,31.3084,31.4684,0.1160,1.0000,0.2000,30.0000,PID
8.9650,30.9348,31.4577,0.1177,1.0000,0.2000,30.0000,PID
9.9650,31.3084,31.4547,0.1160,1.0000,0.0539,30.0000,THROTTLE
10.9650,31.1209,31.4481,0.1168,1.0000,0.0535,30.0000,THROTTLE
11.9650,31.1209,31.4415,0.1168,1.0000,0.0529,30.0000,THROTTLE
12.9650,30.3854,31.4204,0.1201,1.0000,0.0539,30.0000,THROTTLE
13.9650,31.3084,31.4182,0.1160,1.0000,0.0530,30.0000,THROTTLE
14.9650,30.9348,31.4085,0.1177,1.0000,0.0528,30.0000,THROTTLE
26.9650,30.5671,31.2100,0.1193,1.0000,0.0601,30.0000,THROTTLE
38.9650,30.9348,31.0774,0.1177,1.0000,0.0625,30.0000,THROTTLE
39.9650,31.1209,31.0783,0.1168,1.0000,0.0616,30.0000,THROTTLE
40.9650,31.3084,31.0829,0.1160,1.0000,0.0602,30.0000,THROTTLE
41.9650,30.7502,31.0762,0.1185,1.0000,0.0600,30.0000,THROTTLE
42.9650,30.7502,31.0697,0.1185,1.0000,0.0598,30.0000,THROTTLE
43.9650,30.3854,31.0560,0.1201,1.0000,0.2000,31.0000,PID
44.9650,31.1209,31.0573,0.1168,1.0000,0.2000,31.0000,PID
45.9650,30.3854,31.0439,0.1201,1.0000,0.2000,31.0000,PID
46.9650,30.3854,31.0307,0.1201,1.0000,0.2000,31.0000,PID
47.9650,30.3854,31.0178,0.1201,1.0000,0.2000,31.0000,PID
48.9650,30.5671,31.0088,0.1193,1.0000,0.2000,31.0000,PID
49.9650,30.7502,31.0036,0.1185,1.0000,0.2000,31.0000,PID
61.9650,30.7502,30.9340,0.1185,0.9523,0.2000,31.0000,PID
74.9650,31.1209,30.9400,0.1168,0.9507,0.2000,31.0000,PID
86.9650,31.8802,31.0197,0.1136,1.0000,0.2000,31.0000,PID
97.3450,31.1209,31.0438,0.1168,1.0000,0.2000,31.0000,PID
109.3450,31.1209,31.1050,0.1168,1.0000,0.2000,31.0000,PID
122.3450,31.8802,31.2150,0.1136,1.0000,0.2000,31.0000,PID
134.3450,31.1209,31.2189,0.1168,1.0000,0.2000,31.0000,PID
146.3450,31.4975,31.2985,0.1152,1.0000,0.2000,31.0000,PID
147.3450,31.6880,31.3063,0.1144,1.0000,0.2000,31.0000,PID
148.3450,31.1209,31.3025,0.1168,1.0000,0.2000,31.0000,PID
149.3450,31.3084,31.3027,0.1160,1.0000,0.2000,31.0000,PID
150.3450,31.6880,31.3104,0.1144,1.0000,0.2000,31.0000,PID
151.3450,31.3084,31.3103,0.1160,1.0000,0.2000,31.0000,PID
152.3450,32.2692,31.3295,0.1120,1.0000,0.1669,31.0000,THROTTLE
153.3450,31.6880,31.3367,0.1144,1.0000,0.1659,31.0000,THROTTLE
154.3450,31.6880,31.3437,0.1144,1.0000,0.1650,31.0000,THROTTLE
155.3450,31.6880,31.3506,0.1144,1.0000,0.1640,31.0000,THROTTLE
156.3450,30.9348,31.3423,0.1177,1.0000,0.1645,31.0000,THROTTLE
157.3450,31.4975,31.3454,0.1152,1.0000,0.1640,31.0000,THROTTLE
158.3450,31.1209,31.3409,0.1168,1.0000,0.1641,31.0000,THROTTLE
170.3450,31.4975,31.3592,0.1152,1.0000,0.1590,31.0000,THROTTLE
183.3450,31.4975,31.3566,0.1152,1.0000,0.1555,31.0000,THROTTLE
195.3450,31.4975,31.4004,0.1152,1.0000,0.1476,31.0000,THROTTLE
207.3450,31.1209,31.3851,0.1168,1.0000,0.1455,31.0000,THROTTLE
219.3450,31.4975,31.3486,0.1152,1.0000,0.1457,31.0000,THROTTLE
232.3450,30.9348,31.3659,0.1177,1.0000,0.1402,31.0000,THROTTLE
244.3450,31.4975,31.3859,0.1152,1.0000,0.1347,31.0000,THROTTLE
256.3450,31.1209,31.4065,0.1168,1.0000,0.1286,31.0000,THROTTLE
260.3450,31.8802,31.4139,0.1136,1.0000,0.1266,31.0000,THROTTLE
261.3450,30.7502,31.4006,0.1185,1.0000,0.1276,31.0000,THROTTLE
262.3450,31.8802,31.4102,0.1136,1.0000,0.1263,31.0000,THROTTLE
263.3450,32.0739,31.4235,0.1128,1.0000,0.1247,31.0000,THROTTLE
264.3450,31.6880,31.4288,0.1144,1.0000,0.1238,31.0000,THROTTLE
265.3450,31.8802,31.4378,0.1136,1.0000,0.2000,35.0000,THROTTLE
266.3450,31.8802,31.4466,0.1136,0.0000,0.2000,35.0000,PID
267.3450,31.6880,31.4515,0.1144,0.0000,0.2000,35.0000,PID
268.3450,31.4975,31.4524,0.1152,0.0000,0.2000,35.0000,PID
269.3450,31.6880,31.4571,0.1144,0.0000,0.2000,35.0000,PID
270.3460,31.1209,31.4504,0.1168,0.0000,0.2000,35.0000,PID
271.3450,31.4975,31.4513,0.1152,0.0000,0.2000,35.0000,PID
280.3450,31.8802,31.5411,0.1136,0.0000,0.2000,35.0000,PID
287.3450,32.4662,31.6387,0.1112,0.0000,0.2000,35.0000,PID
288.3450,32.4662,31.6552,0.1112,0.0000,0.0000,35.0000,PID
290.3450,32.2692,31.6719,0.1120,0.0000,0.0000,35.0000,PID
291.3450,32.2692,31.6838,0.1120,0.0000,0.4000,35.0000,PID
297.3450,31.8802,31.7801,0.1136,0.0000,0.4000,35.0000,PID
309.3450,32.8651,31.9624,0.1096,0.0000,0.4000,35.0000,PID
321.3450,33.4763,32.1202,0.1072,0.0000,0.4000,35.0000,PID
333.3450,32.8651,32.3227,0.1096,0.0000,0.4000,35.0000,PID
346.3450,33.2708,32.5147,0.1080,0.0000,0.4000,35.0000,PID
358.3450,33.4763,32.7784,0.1072,0.0000,0.4000,35.0000,PID
370.3450,34.1037,33.0281,0.1048,0.0000,0.4000,35.0000,PID
382.3450,34.5314,33.3105,0.1032,0.0000,0.4000,35.0000,PID
395.3450,34.7481,33.5820,0.1023,0.0182,0.4000,35.0000,PID
398.3450,34.9669,33.6510,0.1015,0.0397,0.4000,35.0000,PID
399.3450,35.8624,33.6952,0.0983,0.0616,0.4000,35.0000,PID
409.3450,34.7481,33.8659,0.1023,0.1029,0.4000,35.0000,PID
410.3450,34.1037,33.8706,0.1048,0.0993,0.4000,35.0000,PID
411.3450,35.4104,33.9014,0.0999,0.1134,0.4000,35.0000,PID
423.3450,35.8624,34.1349,0.0983,0.1995,0.4000,35.0000,PID
434.3450,35.8624,34.3301,0.0983,0.2807,0.4000,35.0000,PID
436.3450,35.4104,34.3599,0.0999,0.2929,0.4000,35.0000,PID
438.3450,35.4104,34.4104,0.0999,0.3197,0.4000,35.0000,PID
450.3450,35.1876,34.6026,0.1007,0.4159,0.4000,35.0000,PID
453.3450,35.8624,34.6464,0.0983,0.4387,0.4000,35.0000,PID
457.3450,34.9669,34.6761,0.1015,0.4504,0.4000,35.0000,PID
461.3450,36.0916,34.7772,0.0975,0.5125,0.4000,35.0000,PID
463.3450,34.9669,34.7890,0.1015,0.5179,0.4000,35.0000,PID
466.3450,34.9669,34.8254,0.1015,0.5392,0.4000,35.0000,PID
478.3450,34.7481,34.8737,0.1023,0.5620,0.4000,35.0000,PID
480.3450,35.4104,34.8905,0.0999,0.5720,0.4000,35.0000,PID
483.3450,33.8928,34.8484,0.1056,0.5410,0.4000,35.0000,PID
485.3450,35.1876,34.8575,0.1007,0.5454,0.4000,35.0000,PID
493.3450,34.1037,34.8095,0.1048,0.5045,0.4000,35.0000,PID
496.3450,35.1876,34.8064,0.1007,0.4987,0.4000,35.0000,PID
507.3450,34.9669,34.7257,0.1015,0.4278,0.4000,35.0000,PID
512.3450,34.1037,34.7273,0.1048,0.4208,0.4000,35.0000,PID
520.3450,34.3166,34.6764,0.1040,0.3723,0.4000,35.0000,PID
521.3450,34.3166,34.6692,0.1040,0.3654,0.4000,35.0000,PID
529.3450,34.7481,34.7499,0.1023,0.4065,0.4000,35.0000,PID
530.3450,35.6353,34.7676,0.0991,0.4171,0.4000,35.0000,PID
535.3450,36.0916,34.8142,0.0975,0.4420,0.4000,35.0000,PID
536.3450,34.1037,34.8000,0.1048,0.4311,0.4000,35.0000,PID
548.3450,34.7481,34.8678,0.1023,0.4652,0.4000,35.0000,PID
549.3450,34.7481,34.8654,0.1023,0.4627,0.4000,35.0000,PID
553.3450,34.7481,34.8900,0.1023,0.4767,0.4000,35.0000,PID
554.3480,35.6353,34.9049,0.0991,0.4862,0.4000,35.0000,PID
559.3450,35.4104,34.9372,0.0999,0.5056,0.4000,35.0000,PID
565.3450,34.9669,34.9372,0.1015,0.5030,0.4000,35.0000,PID
571.3450,35.1876,34.9546,0.1007,0.5125,0.4000,35.0000,PID
572.3450,34.3166,34.9418,0.1040,0.5036,0.4000,35.0000,PID
578.3450,34.7481,34.9356,0.1023,0.4974,0.4000,35.0000,PID
580.3450,34.9669,34.9500,0.1015,0.5065,0.4000,35.0000,PID
581.3450,34.1037,34.9331,0.1048,0.4946,0.4000,35.0000,PID
582.3450,35.1876,34.9381,0.1007,0.4977,0.4000,35.0000,PID
588.3450,34.9669,34.9087,0.1015,0.4747,0.4000,35.0000,PID
589.3450,33.8928,34.8884,0.1056,0.4603,0.4000,35.0000,PID
595.3450,34.7481,34.8729,0.1023,0.4452,0.4000,35.0000,PID
597.3450,35.1876,34.8941,0.1007,0.4583,0.4000,35.0000,PID
600.3450,34.7481,34.8687,0.1023,0.4388,0.4000,35.0000,PID
601.3450,33.4763,34.8409,0.1072,0.4190,0.4000,35.0000,PID
611.3450,35.4104,34.8586,0.0999,0.4211,0.4000,35.0000,PID
613.3450,35.4104,34.8805,0.0999,0.4344,0.4000,35.0000,PID
625.3450,35.1876,34.8809,0.1007,0.4254,0.4000,35.0000,PID
627.3450,35.6353,34.8976,0.0991,0.4355,0.4000,35.0000,PID
629.3450,35.4104,34.9050,0.0999,0.4392,0.4000,35.0000,PID
630.3450,34.1037,34.8889,0.1048,0.4277,0.4000,35.0000,PID
640.3450,35.1876,34.9781,0.1007,0.4852,0.4000,35.0000,PID
649.3450,35.6353,35.0023,0.0991,0.5007,0.4000,35.0000,PID
653.3450,35.1876,34.9961,0.1007,0.4962,0.4000,35.0000,PID
654.3450,34.3166,34.9825,0.1040,0.4869,0.4000,35.0000,PID
655.3450,34.9669,34.9822,0.1015,0.4866,0.8000,35.0000,PID
656.3450,35.4104,34.9908,0.0999,0.4924,0.8000,35.0000,PID
668.3450,34.9669,35.0352,0.1015,0.5243,0.8000,35.0000,PID
671.3450,35.6353,35.0489,0.0991,0.5343,0.8000,35.0000,PID
680.3450,35.6353,35.1141,0.0991,0.5830,0.8000,35.0000,PID
683.3450,35.1876,35.1056,0.1007,0.5792,0.8000,35.0000,PID
686.3450,36.0916,35.1416,0.0975,0.6058,0.8000,35.0000,PID
688.3450,35.1876,35.1434,0.1007,0.6088,0.8000,35.0000,PID
689.3450,36.3230,35.1670,0.0967,0.6258,0.8000,35.0000,PID
693.3450,35.4104,35.1948,0.0999,0.6491,0.8000,35.0000,PID
696.3450,36.0916,35.2564,0.0975,0.6952,0.8000,35.0000,PID
700.3450,35.6353,35.2691,0.0991,0.7101,0.8000,35.0000,PID
703.3450,34.9669,35.2599,0.1015,0.7087,0.8000,35.0000,PID
707.3450,35.1876,35.3020,0.1007,0.7443,0.8000,35.0000,PID
709.3450,36.3230,35.3379,0.0967,0.7726,0.8000,35.0000,PID
711.3450,34.9669,35.3275,0.1015,0.7696,0.8000,35.0000,PID
716.3450,35.6353,35.3830,0.0991,0.8184,0.8000,35.0000,PID
728.3450,35.1876,35.3484,0.1007,0.8220,0.8000,35.0000,PID
