time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
1.9650,31.4975,31.6880,0.1152,0.0000,0.0000,30.0000,?
2.9650,31.4975,31.6880,0.1152,0.0000,0.0000,30.0000,?
3.9650,31.4975,31.4975,0.1152,0.0000,0.2000,30.0000,?
4.9650,31.3084,31.4937,0.1160,1.0000,0.2000,30.0000,?
5.9650,30.7502,31.4788,0.1185,1.0000,0.2000,30.0000,?
8.9650,30.9348,31.4577,0.1177,1.0000,0.2000,30.0000,?
9.9650,31.3084,31.4547,0.1160,1.0000,0.0539,30.0000,?
14.9650,30.9348,31.4085,0.1177,1.0000,0.0528,30.0000,?
22.9650,30.3854,31.2792,0.1201,1.0000,0.0572,30.0000,?
30.9650,30.5671,31.1465,0.1193,1.0000,0.0627,30.0000,?
37.9650,30.3854,31.0803,0.1201,1.0000,0.0631,30.0000,?
42.9650,30.7502,31.0697,0.1185,1.0000,0.0598,30.0000,?
43.9650,30.3854,31.0560,0.1201,1.0000,0.2000,31.0000,?
47.9650,30.3854,31.0178,0.1201,1.0000,0.2000,31.0000,?
53.9650,30.9348,30.9770,0.1177,0.9841,0.2000,31.0000,?
56.9650,30.7502,30.9532,0.1185,0.9672,0.2000,31.0000,?
63.9650,31.1209,30.9341,0.1168,0.9516,0.2000,31.0000,?
71.9650,31.1209,30.9249,0.1168,0.9416,0.2000,31.0000,?
79.9650,31.1209,30.9506,0.1168,0.9561,0.2000,31.0000,?
86.9650,31.8802,31.0197,0.1136,1.0000,0.2000,31.0000,?
87.9650,31.4975,31.0293,0.1152,1.0000,0.2000,31.0000,?
94.3450,31.1209,31.0505,0.1168,1.0000,0.2000,31.0000,?
102.3450,31.1209,31.0547,0.1168,1.0000,0.2000,31.0000,?
109.3450,31.1209,31.1050,0.1168,1.0000,0.2000,31.0000,?
117.3450,31.3084,31.1801,0.1160,1.0000,0.2000,31.0000,?
125.3450,31.1209,31.2167,0.1168,1.0000,0.2000,31.0000,?
133.3450,31.1209,31.2209,0.1168,1.0000,0.2000,31.0000,?
140.3450,31.4975,31.2688,0.1152,1.0000,0.2000,31.0000,?
148.3450,31.1209,31.3025,0.1168,1.0000,0.2000,31.0000,?
151.3450,31.3084,31.3103,0.1160,1.0000,0.2000,31.0000,?
152.3450,32.2692,31.3295,0.1120,1.0000,0.1669,31.0000,?
158.3450,31.1209,31.3409,0.1168,1.0000,0.1641,31.0000,?
165.3450,32.0739,31.3489,0.1128,1.0000,0.1615,31.0000,?
173.3450,31.4975,31.3710,0.1152,1.0000,0.1569,31.0000,?
181.3450,31.3084,31.3546,0.1160,1.0000,0.1562,31.0000,?
188.3450,31.6880,31.3527,0.1144,1.0000,0.1545,31.0000,?
196.3450,31.1209,31.3948,0.1168,1.0000,0.1478,31.0000,?
204.3450,31.3084,31.3702,0.1160,1.0000,0.1479,31.0000,?
211.3450,30.9348,31.3577,0.1177,1.0000,0.1470,31.0000,?
219.3450,31.4975,31.3486,0.1152,1.0000,0.1457,31.0000,?
227.3450,32.2692,31.3727,0.1120,1.0000,0.1411,31.0000,?
234.3450,31.4975,31.3674,0.1152,1.0000,0.1395,31.0000,?
242.3450,31.3084,31.3775,0.1160,1.0000,0.1361,31.0000,?
250.3450,31.4975,31.4309,0.1152,1.0000,0.1282,31.0000,?
258.3450,31.1209,31.4063,0.1168,1.0000,0.1280,31.0000,?
264.3450,31.6880,31.4288,0.1144,1.0000,0.1238,31.0000,?
265.3450,31.8802,31.4378,0.1136,1.0000,0.2000,35.0000,?
266.3450,31.8802,31.4466,0.1136,0.0000,0.2000,35.0000,?
268.3450,31.4975,31.4524,0.1152,0.0000,0.2000,35.0000,?
276.3450,32.2692,31.5045,0.1120,0.0000,0.2000,35.0000,?
284.3450,32.4662,31.5870,0.1112,0.0000,0.2000,35.0000,?
287.3450,32.4662,31.6387,0.1112,0.0000,0.2000,35.0000,?
288.3450,32.4662,31.6552,0.1112,0.0000,0.0000,35.0000,?
290.3450,32.2692,31.6719,0.1120,0.0000,0.0000,35.0000,?
291.3450,32.2692,31.6838,0.1120,0.0000,0.4000,35.0000,?
295.3450,32.2692,31.7600,0.1120,0.0000,0.4000,35.0000,?
303.3450,32.4662,31.8579,0.1112,0.0000,0.4000,35.0000,?
311.3450,32.4662,31.9823,0.1112,0.0000,0.4000,35.0000,?
318.3450,32.0739,32.0607,0.1128,0.0000,0.4000,35.0000,?
326.3450,33.8928,32.2446,0.1056,0.0000,0.4000,35.0000,?
334.3450,33.0670,32.3376,0.1088,0.0000,0.4000,35.0000,?
341.3450,33.4763,32.4512,0.1072,0.0000,0.4000,35.0000,?
349.3450,33.8928,32.5878,0.1056,0.0000,0.4000,35.0000,?
357.3450,34.1037,32.7642,0.1048,0.0000,0.4000,35.0000,?
365.3450,34.1037,32.9181,0.1048,0.0000,0.4000,35.0000,?
372.3450,34.5314,33.0834,0.1032,0.0000,0.4000,35.0000,?
380.3450,35.1876,33.2557,0.1007,0.0000,0.4000,35.0000,?
388.3450,34.5314,33.4456,0.1032,0.0000,0.4000,35.0000,?
393.3450,34.7481,33.5339,0.1023,0.0000,0.4000,35.0000,?
396.3450,34.3166,33.5967,0.1040,0.0196,0.4000,35.0000,?
398.3450,34.9669,33.6510,0.1015,0.0397,0.4000,35.0000,?
399.3450,35.8624,33.6952,0.0983,0.0616,0.4000,35.0000,?
406.3450,34.5314,33.8063,0.1032,0.0837,0.4000,35.0000,?
410.3450,34.1037,33.8706,0.1048,0.0993,0.4000,35.0000,?
411.3450,35.4104,33.9014,0.0999,0.1134,0.4000,35.0000,?
416.3450,35.1876,34.0002,0.1007,0.1484,0.4000,35.0000,?
423.3450,35.8624,34.1349,0.0983,0.1995,0.4000,35.0000,?
431.3450,34.9669,34.2665,0.1015,0.2504,0.4000,35.0000,?
434.3450,35.8624,34.3301,0.0983,0.2807,0.4000,35.0000,?
438.3450,35.4104,34.4104,0.0999,0.3197,0.4000,35.0000,?
439.3450,36.3230,34.4486,0.0967,0.3423,0.4000,35.0000,?
